# USDA NASS Quick Stats, environmental: North Dakota nitrogen fertilizer application.
# DOMAIN_DESC = FERTILIZER, DOMAINCAT_DESC = FERTILIZER: (NITROGEN), state level.
# practice = PRODN_PRACTICE_DESC. ORGANIC is a SEPARATE record from ALL PRODUCTION
# PRACTICES and must not be mixed into a synthetic-ammonia model; dropping this
# column collapsed two distinct 2009 spring-wheat records into one.
# PER_APP = LB / ACRE / APPLICATION, AVG    APPS = NUMBER, AVG
# PER_YEAR = LB / ACRE / YEAR, AVG          PCT_AREA = PCT OF AREA PLANTED, AVG
# (D) = withheld by NASS to avoid disclosing individual operations.
# Retrieved 2026-09-19 from qs.environmental_20260919.txt.gz. 17 U.S.C. 105, no copyright.
crop	class	practice	year	measure	value
WHEAT	SPRING, (EXCL DURUM)	ORGANIC	2009	PCT_AREA	(D)
WHEAT	SPRING, (EXCL DURUM)	ORGANIC	2009	PER_APP	(D)
WHEAT	SPRING, (EXCL DURUM)	ORGANIC	2009	PER_YEAR	(D)
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1990	APPS	1.43
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1990	PCT_AREA	58
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1990	PER_APP	24
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1990	PER_YEAR	35
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1991	APPS	1.5
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1991	PCT_AREA	72
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1991	PER_APP	30
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1991	PER_YEAR	47
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1992	APPS	1.5
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1992	PCT_AREA	73
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1992	PER_APP	33
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1992	PER_YEAR	51
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1993	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1993	PCT_AREA	78
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1993	PER_APP	37
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1993	PER_YEAR	63
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1994	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1994	PCT_AREA	85
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1994	PER_APP	40
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1994	PER_YEAR	70
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1995	APPS	1.6
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1995	PCT_AREA	92
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1995	PER_APP	40
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1995	PER_YEAR	65
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1996	APPS	1.6
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1996	PCT_AREA	93
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1996	PER_APP	38
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1996	PER_YEAR	60
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1997	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1997	PCT_AREA	95
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1997	PER_APP	38
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1997	PER_YEAR	66
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1998	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1998	PCT_AREA	98
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1998	PER_APP	35
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	1998	PER_YEAR	60
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2000	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2000	PCT_AREA	86
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2000	PER_APP	36
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2000	PER_YEAR	62
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2002	APPS	1.6
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2002	PCT_AREA	88
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2002	PER_APP	40
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2002	PER_YEAR	62
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2004	APPS	1.9
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2004	PCT_AREA	95
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2004	PER_APP	37
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2004	PER_YEAR	69
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2006	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2006	PCT_AREA	92
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2006	PER_APP	39
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2006	PER_YEAR	64
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2009	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2009	PCT_AREA	99
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2009	PER_APP	36
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2009	PER_YEAR	62
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2012	APPS	1.8
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2012	PCT_AREA	99
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2012	PER_APP	40
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2012	PER_YEAR	72
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2015	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2015	PCT_AREA	99
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2015	PER_APP	49
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2015	PER_YEAR	83
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2017	APPS	1.9
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2017	PCT_AREA	100
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2017	PER_APP	46
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2017	PER_YEAR	86
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2019	APPS	1.7
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2019	PCT_AREA	100
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2019	PER_APP	51
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2019	PER_YEAR	89
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2022	APPS	1.8
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2022	PCT_AREA	100
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2022	PER_APP	45
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2022	PER_YEAR	81
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2024	APPS	2
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2024	PCT_AREA	100
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2024	PER_APP	49
WHEAT	SPRING, DURUM	ALL PRODUCTION PRACTICES	2024	PER_YEAR	95
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2009	APPS	2
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2009	PCT_AREA	100
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2009	PER_APP	47
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2009	PER_YEAR	94
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2017	APPS	2
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2017	PCT_AREA	87
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2017	PER_APP	40
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2017	PER_YEAR	82
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2019	APPS	1.6
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2019	PCT_AREA	94
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2019	PER_APP	50
WHEAT	WINTER	ALL PRODUCTION PRACTICES	2019	PER_YEAR	80
