# USDA NASS Quick Stats, environmental: North Dakota nitrogen fertilizer application.
# DOMAIN_DESC = FERTILIZER, DOMAINCAT_DESC = FERTILIZER: (NITROGEN), state level.
# practice = PRODN_PRACTICE_DESC. ORGANIC is a SEPARATE record from ALL PRODUCTION
# PRACTICES and must not be mixed into a synthetic-ammonia model; dropping this
# column collapsed two distinct 2009 spring-wheat records into one.
# PER_APP = LB / ACRE / APPLICATION, AVG    APPS = NUMBER, AVG
# PER_YEAR = LB / ACRE / YEAR, AVG          PCT_AREA = PCT OF AREA PLANTED, AVG
# (D) = withheld by NASS to avoid disclosing individual operations.
# Retrieved 2026-09-19 from qs.environmental_20260919.txt.gz. 17 U.S.C. 105, no copyright.
crop	class	practice	year	measure	value
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2005	PCT_AREA	71
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2005	PER_APP	34
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2005	PER_YEAR	45
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	APPS	1.4
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	PCT_AREA	88
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	PER_APP	37
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2015	PER_YEAR	50
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	APPS	1.4
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PCT_AREA	77
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PER_APP	39
OATS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PER_YEAR	55
POTATOES	FALL	ALL PRODUCTION PRACTICES	1990	APPS	2.11
POTATOES	FALL	ALL PRODUCTION PRACTICES	1990	PCT_AREA	97
POTATOES	FALL	ALL PRODUCTION PRACTICES	1990	PER_APP	40
POTATOES	FALL	ALL PRODUCTION PRACTICES	1990	PER_YEAR	84
POTATOES	FALL	ALL PRODUCTION PRACTICES	1991	APPS	1.7
POTATOES	FALL	ALL PRODUCTION PRACTICES	1991	PCT_AREA	96
POTATOES	FALL	ALL PRODUCTION PRACTICES	1991	PER_APP	56
POTATOES	FALL	ALL PRODUCTION PRACTICES	1991	PER_YEAR	97
POTATOES	FALL	ALL PRODUCTION PRACTICES	1992	APPS	1.7
POTATOES	FALL	ALL PRODUCTION PRACTICES	1992	PCT_AREA	99
POTATOES	FALL	ALL PRODUCTION PRACTICES	1992	PER_APP	54
POTATOES	FALL	ALL PRODUCTION PRACTICES	1992	PER_YEAR	90
POTATOES	FALL	ALL PRODUCTION PRACTICES	1993	APPS	1.9
POTATOES	FALL	ALL PRODUCTION PRACTICES	1993	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	1993	PER_APP	56
POTATOES	FALL	ALL PRODUCTION PRACTICES	1993	PER_YEAR	109
POTATOES	FALL	ALL PRODUCTION PRACTICES	1994	APPS	2.5
POTATOES	FALL	ALL PRODUCTION PRACTICES	1994	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	1994	PER_APP	52
POTATOES	FALL	ALL PRODUCTION PRACTICES	1994	PER_YEAR	129
POTATOES	FALL	ALL PRODUCTION PRACTICES	1995	APPS	2.9
POTATOES	FALL	ALL PRODUCTION PRACTICES	1995	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	1995	PER_APP	55
POTATOES	FALL	ALL PRODUCTION PRACTICES	1995	PER_YEAR	161
POTATOES	FALL	ALL PRODUCTION PRACTICES	1997	APPS	3.3
POTATOES	FALL	ALL PRODUCTION PRACTICES	1997	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	1997	PER_APP	40
POTATOES	FALL	ALL PRODUCTION PRACTICES	1997	PER_YEAR	134
POTATOES	FALL	ALL PRODUCTION PRACTICES	1999	APPS	3.4
POTATOES	FALL	ALL PRODUCTION PRACTICES	1999	PCT_AREA	99
POTATOES	FALL	ALL PRODUCTION PRACTICES	1999	PER_APP	37
POTATOES	FALL	ALL PRODUCTION PRACTICES	1999	PER_YEAR	129
POTATOES	FALL	ALL PRODUCTION PRACTICES	2003	APPS	3.6
POTATOES	FALL	ALL PRODUCTION PRACTICES	2003	PCT_AREA	97
POTATOES	FALL	ALL PRODUCTION PRACTICES	2003	PER_APP	40
POTATOES	FALL	ALL PRODUCTION PRACTICES	2003	PER_YEAR	144
POTATOES	FALL	ALL PRODUCTION PRACTICES	2005	APPS	4.6
POTATOES	FALL	ALL PRODUCTION PRACTICES	2005	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	2005	PER_APP	35
POTATOES	FALL	ALL PRODUCTION PRACTICES	2005	PER_YEAR	159
POTATOES	FALL	ALL PRODUCTION PRACTICES	2010	APPS	5.5
POTATOES	FALL	ALL PRODUCTION PRACTICES	2010	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	2010	PER_APP	32
POTATOES	FALL	ALL PRODUCTION PRACTICES	2010	PER_YEAR	180
POTATOES	FALL	ALL PRODUCTION PRACTICES	2014	APPS	3.5
POTATOES	FALL	ALL PRODUCTION PRACTICES	2014	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	2014	PER_APP	44
POTATOES	FALL	ALL PRODUCTION PRACTICES	2014	PER_YEAR	156
POTATOES	FALL	ALL PRODUCTION PRACTICES	2016	APPS	8.3
POTATOES	FALL	ALL PRODUCTION PRACTICES	2016	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	2016	PER_APP	24
POTATOES	FALL	ALL PRODUCTION PRACTICES	2016	PER_YEAR	200
POTATOES	FALL	ALL PRODUCTION PRACTICES	2022	APPS	3.6
POTATOES	FALL	ALL PRODUCTION PRACTICES	2022	PCT_AREA	99
POTATOES	FALL	ALL PRODUCTION PRACTICES	2022	PER_APP	33
POTATOES	FALL	ALL PRODUCTION PRACTICES	2022	PER_YEAR	118
POTATOES	FALL	ALL PRODUCTION PRACTICES	2025	APPS	5.4
POTATOES	FALL	ALL PRODUCTION PRACTICES	2025	PCT_AREA	100
POTATOES	FALL	ALL PRODUCTION PRACTICES	2025	PER_APP	30
POTATOES	FALL	ALL PRODUCTION PRACTICES	2025	PER_YEAR	165
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	APPS	1.1
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	PCT_AREA	30
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	PER_APP	21
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	1990	PER_YEAR	23
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	APPS	1.2
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PCT_AREA	46
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PER_APP	25
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PER_YEAR	32
